平林漠漠烟如织
寒山一带伤心碧
暝色入高楼
有人楼上愁
玉阶空伫立
宿鸟归飞急
何处是归程
长亭更短亭
秋风清
秋月明
落叶聚还散
寒鸦栖复惊
相思相见知何日
此时此夜难为情
入我相思门
知我相思苦
长相思兮长相忆
短相思兮无穷极
早知如此绊人心
何如当初莫相识
边草
边草
边草尽来兵老
山南山北雪晴
千里万里月明
明月
明月
胡笳一声愁绝
山桃红花满上头
蜀江春水拍山流
花红易衰似郎意
水流无限似侬愁
江南好
风景旧曾谙
日出江花红胜火
春来江水绿如蓝
能不忆江南
汴水流
泗水流
流到瓜州古渡头
吴山点点愁
思悠悠
恨悠悠
恨到归时方始休
月明人倚楼
借问江潮与海水
何似君情与妾心
相恨不如潮有信
相思始觉海非深
兰烬落
屏上暗红蕉
闲梦江南梅熟日
夜船吹笛雨萧萧
人语驿边桥
小山重叠金明灭
鬓云欲度香腮雪
懒起画蛾眉
弄妆梳洗迟
照花前后镜
花面交相映
新帖绣罗襦
双双金鹧
红楼别夜堪惆怅
香灯半卷流苏帐
残月出门时
美人和泪辞
琵琶金翠羽
弦上黄莺语
劝我早归家
绿窗人似花
劝君今夜须沉醉
尊前莫话明朝事
珍重主人心
酒深情亦深
须愁春漏短
莫诉金杯满
遇酒且呵呵
人生能几何
昨夜夜半
枕上分明梦见
语多时
依旧桃花面
频低柳叶眉
半羞还半喜
欲去又依依
觉来知是梦
不胜悲
红蓼渡头秋正雨
印沙鸥迹自成行
整鬟飘袖野风香
不语含嚬深浦里
几回愁煞棹船郎
燕归帆尽水茫茫
新月曲如眉
未有团圞意
红豆不堪看
满眼相思泪
终日劈桃穰
仁在心儿里
两朵隔墙花
早晚成连理
乘彩舫
过莲塘
棹歌惊起睡鸳鸯
游女带香偎伴笑
争窈窕
竞折团荷遮晚照
箫声咽
秦娥梦断秦楼月
秦楼月
年年柳色
灞陵伤别
乐游原上清秋节
咸阳古道音尘绝
音尘绝
西风残照
汉家陵阙
西塞山前白鹭飞
桃花流水鳜鱼肥
青箬笠
绿蓑衣
斜风细雨不须归
团扇
团扇
美人病来遮面
玉颜憔悴三年
谁复商量管弦
弦管
弦管
春草昭阳路断
斑竹枝
斑竹枝
泪痕点点寄相思
楚客欲听瑶瑟怨
潇湘深夜月明时
江南好
风景旧曾谙
日出江花红胜火
春来江水绿如蓝
能不忆江南
江南忆
最忆是杭州
山寺月中寻桂子
郡亭枕上看潮头
何日更重游
江南忆
其次忆吴宫
吴酒一杯春竹叶
吴娃双舞醉芙蓉
早晚复相逢
花非花
