为问家何在
曾批给雨支风敕
问院落凄凉
香冷金猊
被翻红浪
起来人未梳头
任宝奁闲掩
日上帘钩
生怕闲愁暗恨
多少事
欲说还休
今年瘦
非干病酒
不是悲秋
明朝
者回去也
千万遍阳关
也即难留
念武陵春晚
云锁重楼
记取楼前绿水
应念我
终日凝眸
凝眸处
从今更数
几段新愁
瑞脑消金兽
人似黄花瘦
落日镕金
捻金雪柳
守著窗儿
壮士饥餐胡虏肉
踏破贺兰山阙
君恩赐与
玉界琼田三万顷
银河共影 
肝胆皆冰雪
稳泛沧冥空阔
尽吸西江
应念岭表经年
惜春长恨花开早
阑干拍遍
休说鲈鱼堪鲙
江晚正愁予
路转溪头忽见
故人今在不
终不是
日日醉花边
秋娘度与泰娘桥
回首洛阳花世界
