寒雨连江夜入吴
平明送客楚山孤                
洛阳亲友如相问
一片冰心在玉壶                
独在异乡为异客                
每逢佳节倍思亲                
遥知兄弟登高处                
遍插茱萸少一人                
寂寂花时闭院门                
美人相并立琼轩                
含情欲说宫中事                
鹦鹉前头不敢言                
故人西辞黄鹤楼                
烟花三月下扬州                
孤帆远影碧空尽                
唯见长江天际流                
宣室求贤访逐臣                
贾生才调更无伦                
可怜夜半虚前席                
不问苍生问鬼神                
云母屏风烛影深                
长河渐落晓星沉                
嫦娥应悔偷灵药                
碧海青天夜夜心                
为有云屏无限娇
凤城寒尽怕春宵                
无端嫁得金龟婿      
辜负香衾事早朝                
多情却似总无情               
唯觉尊前笑不成                
蜡烛有心还惜别                
替人垂泪到天明                
落魄江湖载酒行               
楚腰纤细掌中轻                
十年一觉扬州梦                
赢得青楼薄幸名                
折戟沉沙铁未销               
自将磨洗认前朝                
东风不与周郎便                
铜雀春深锁二乔                
谁谓伤心画不成                
画人心逐世人情                
君看六幅南朝事               
老木寒云满故城                
别梦依依到谢家                
小廊回合曲阑斜                
多情只有春庭月               
犹为离人照落花                
日光斜照集灵台                
红树花迎晓露开                
昨夜上皇新授箓                
太真含笑入帘来                
誓扫匈奴不顾身                
五千貂锦丧胡尘                
可怜无定河边骨                
犹是春闺梦里人
冰簟银床梦不成                
碧天如水夜云轻                
雁声远过潇湘去                
十二楼中月自明                
朱雀桥边野草花                
乌衣巷口夕阳斜                
旧时王谢堂前燕                
飞入寻常百姓家                
春城无处不飞花               
寒食东风御柳斜                
日暮汉宫传蜡烛                
轻烟散入五侯家                
闺中少妇不知愁                
春日凝妆上翠楼                
忽见陌头杨柳色                
悔教夫婿觅封侯                
葡萄美酒夜光杯                
欲饮琵琶马上催                
醉卧沙场君莫笑                
古来征战几人回                    
洞房昨夜停红烛                
待晓堂前拜舅姑                
妆罢低声问夫婿             
画眉深浅入时无                
朝辞白帝彩云间                
千里江陵一日还                
两岸猿声啼不住                
轻舟已过万重山                
乘兴南游不戒严                
九重谁省谏书函                
春风举国裁宫锦                
半作障泥半作帆                
君问归期未有期                
巴山夜雨涨秋池                
何当共剪西窗烛                
却话巴山夜雨时                
岐王宅里寻常见                
崔九堂前几度闻                
正是江南好风景                
落花时节又逢君                
繁华事散逐香尘                
流水无情草自春                
日暮东风怨啼鸟                
落花犹似坠楼人                
银烛秋光冷画屏                
轻罗小扇扑流萤                
天阶夜色凉如水                
卧看牵牛织女星                
烟笼寒水月笼沙                
夜泊秦淮近酒家                
商女不知亡国恨                
隔江犹唱后庭花                
独怜幽草涧边生                
上有黄鹂深树鸣                
春潮带雨晚来急                
野渡无人舟自横                
金陵津渡小山楼                
一宿行人自可愁                
潮落夜江斜月里               
两三星火是瓜洲                
虢国夫人承主恩                
平明骑马入宫门                
却嫌脂粉污颜色                
淡扫蛾眉朝至尊                
近寒食雨草萋萋                
著麦苗风柳映堤                
等是有家归未得                
杜鹃休向耳边啼                
更深月色半人家                
北斗阑干南斗斜                
今夜偏知春气暖                
虫声新透绿窗纱                
新妆宜面下朱楼                
深锁春光一院愁                
行到中庭数花朵              
蜻蜓飞上玉搔头                
碧阑干外绣帘垂                
猩色屏风画折枝                
八尺龙须方锦褥                
已凉天气未寒时                
昨夜风开露井桃                
未央前殿月轮高                
平阳歌舞新承宠                
帘外春寒赐锦袍                
泪湿罗巾梦不成                
夜深前殿按歌声                
红颜未老恩先断                
斜倚薰笼坐到明                
故园东望路漫漫                
双袖龙钟泪不干                
马上相逢无纸笔                
凭君传语报平安                
回乐烽前沙似雪                
受降城外月如霜                
不知何处吹芦管                
一夜征人尽望乡                
瑶池阿母绮窗开               
黄竹歌声动地哀                
八骏日行三万里               
穆王何事不重来                
嵩云秦树久离居                
双鲤迢迢一纸书                
休问梁园旧宾客                
茂陵秋雨病相如                
娉娉袅袅十三余                
豆蔻梢头二月初                
春风十里扬州路                
卷上珠帘总不如                
青山隐隐水迢迢                
秋尽江南草未凋                
二十四桥明月夜                
玉人何处教吹箫                    
清时有味是无能                
闲爱孤云静爱僧                
欲把一麾江海去                
乐游原上望昭陵                
岁岁金河复玉关                
朝朝马策与刀环                
三春白雪归青冢                
万里黄河绕黑山                
隐隐飞桥隔野烟                
石矶西畔问渔船                
桃花尽日随流水                
洞在清溪何处边                
禁门宫树月痕过                
媚眼惟看宿鹭窠                
斜拔玉钗灯影畔                
剔开红焰救飞蛾                
月落乌啼霜满天                
江枫渔火对愁眠                
姑苏城外寒山寺                
夜半钟声到客船                
少小离家老大回                
乡音无改鬓毛衰                
儿童相见不相识                
笑问客从何处来                
纱窗日落渐黄昏                
金屋无人见泪痕                
寂寞空庭春欲晚                
梨花满地不开门                
玄宗回马杨妃死                
云雨难忘日月新                
终是圣明天子事                
景阳宫井又何人                
长乐宫连上苑春                
玉楼金殿艳歌新                
君门一入无由出                
唯有宫莺得见人                
昔岁逢太平                
山林二十年                
泉源在庭户                
洞壑当门前                
井税有常期                
日晏犹得眠                
忽然遭世变                
数岁亲戎旃                
今来典斯郡               
山夷又纷然                
城小贼不屠                
人贫伤可怜                
是以陷邻境                
此州独见全                
使臣将王命                
岂不如贼焉                    
今彼征敛者                
迫之如火煎                
谁能绝人命                
以作时世贤
思欲委符节                
引竿自刺船                
将家就鱼麦                
归老江湖边                
艳色天下重                
西施宁久微                
朝为越溪女                
暮作吴宫妃                
贱日岂殊众                
贵来方悟稀                
邀人傅脂粉                
不自著罗衣                
君宠益娇态                
君怜无是非                
当时浣纱伴                
莫得同车归                
持谢邻家子                
效颦安可希                
言入黄花川                
每逐青溪水                
随山将万转                
趣途无百里                
声喧乱石中                
色静深松里                
漾漾泛菱荇                
澄澄映葭苇                
我心素已闲                
清川澹如此                
请留磐石上                
垂钓将已矣                
花间一壶酒              
独酌无相亲                
举杯邀明月                
对影成三人                
月既不解饮                
影徒随我身                
暂伴月将影                
行乐须及春                
我歌月徘徊                
我舞影零乱                
醒时同交欢              
醉后各分散                
永结无情游                
相期邈云汉                
浮云终日行            
游子久不至                
三夜频梦君               
情亲见君意                
告归常局促                
苦道来不易                
江湖多风波                
舟楫恐失坠                
出门搔白首               
若负平生志                
冠盖满京华                
斯人独憔悴                
孰云网恢恢                
将老身反累                
千秋万岁名                
寂寞身后事                
绝代有佳人                
幽居在空谷                
自云良家子               
零落依草木                
关中昔丧乱                
兄弟遭杀戮                
官高何足论                
不得收骨肉                
世情恶衰歇                
万事随转烛                
夫婿轻薄儿               
新人美如玉                
合昏尚知时                
鸳鸯不独宿                
但见新人笑                
那闻旧人哭                
在山泉水清                
出山泉水浊                
侍婢卖珠回                
牵萝补茅屋                
摘花不插发                
采柏动盈掬                
天寒翠袖薄                
日暮倚修竹                
夕阳度西岭               
群壑倏已暝                
松月生夜凉                
风泉满清听                
樵人归欲尽                
烟鸟栖初定                
之子期宿来               
孤琴候萝径                
久为簪组累                
幸此南夷谪                
闲依农圃邻                
偶似山林客                
晓耕翻露草                
夜榜响溪石                
来往不逢人                
长歌楚天碧                
